hex,count_good_aircraft,count_bad_aircraft
8408a31ffffffff,12,0
8408a33ffffffff,8,0
8408a35ffffffff,10,0
8408a37ffffffff,14,0
8408a39ffffffff,13,0
8408a3bffffffff,5,0
8408a3dffffffff,9,0
8408a41ffffffff,154,0
8408a43ffffffff,71,0
8408a45ffffffff,219,0
8408a47ffffffff,62,0
8408a49ffffffff,71,0
8408a4bffffffff,68,0
8408a4dffffffff,124,0
8408a51ffffffff,24,0
8408a53ffffffff,10,0
8408a55ffffffff,22,0
8408a57ffffffff,11,0
8408a59ffffffff,62,0
8408a5bffffffff,36,0
8408a5dffffffff,67,0
8408a61ffffffff,69,0
8408a63ffffffff,45,0
8408a65ffffffff,32,0
8408a67ffffffff,70,0
8408a69ffffffff,149,0
8408a6bffffffff,90,0
8408a6dffffffff,91,0
8408a81ffffffff,4,0
8408a83ffffffff,5,0
8408a85ffffffff,8,0
8408a87ffffffff,10,0
8408a89ffffffff,3,0
8408a8bffffffff,3,0
8408a8dffffffff,4,0
8408a91ffffffff,3,0
8408a93ffffffff,5,0
8408a95ffffffff,3,0
8408a97ffffffff,9,0
8408a99ffffffff,1,0
8408a9bffffffff,5,0
8408a9dffffffff,3,0
8408aa1ffffffff,13,0
8408aa3ffffffff,18,0
8408aa5ffffffff,26,0
8408aa7ffffffff,29,0
8408aa9ffffffff,10,0
8408aabffffffff,11,0
8408aadffffffff,8,1
8408ab1ffffffff,7,0
8408ab3ffffffff,13,0
8408ab5ffffffff,24,0
8408ab7ffffffff,24,0
8408ab9ffffffff,6,0
8408abbffffffff,6,0
8408abdffffffff,5,0
8408ac1ffffffff,8,0
8408ac3ffffffff,8,0
8408ac5ffffffff,7,0
8408ac7ffffffff,6,0
8408ac9ffffffff,8,0
8408acbffffffff,10,0
8408acdffffffff,7,0
8408ad1ffffffff,2,0
8408ad3ffffffff,1,0
8408ad5ffffffff,4,0
8408ad7ffffffff,2,0
8408ad9ffffffff,8,0
8408adbffffffff,3,0
8408addffffffff,8,0
8408ae1ffffffff,8,0
8408ae3ffffffff,7,0
8408ae5ffffffff,8,0
8408ae7ffffffff,9,0
8408ae9ffffffff,7,0
